text,img_path,label
bones and meat,bones_and_meat_398.png,Green
peeled onion,peeled_onion_1684.png,Green
grapes stem,grapes_stem_1115.png,Green
wine cork,wine cork.png,Green
paper,paper_1589.png,Green
banana peel sideview,Banana_Peel_Sideview_326.png,Green
granola bar,granola_bar_1110.png,Green
avocado,avocado_119.png,Green
dirty paper tray,dirty_paper_tray_833.png,Green
lemon cut in half and sliced,lemon_cut_in_half_and_sliced_1321.png,Green
bones and meat,bones_and_meat_429.png,Green
apple,apple_74.png,Green
dirty paper take out food container,dirty_paper_take_out_food_container_781.png,Green
camamile tea bag,camamile_tea_bag_541.png,Green
orange peel,orange_peel_1557.png,Green
soy beans,soy_beans_1941.png,Green
eaten corn cob,eaten_corn_cob_896.png,Green
frozen strawberry,frozen_strawberry_1069.png,Green
burnt english muffin,burnt_english_muffin_527.png,Green
dry nuts,dry_nuts_867.png,Green
jalapeno pepper,jalapeno_pepper_1270.png,Green
tomato,tomato_2090.png,Green
mushroom leftover,mushroom_leftover_1400.png,Green
wood branches,wood_branches_2302.png,Green
dirty napkins,dirty_napkins_818.png,Green
cookie,cookie_673.png,Green
tomatoe,tomatoe_2084.png,Green
dirty paper food tray,dirty_paper_food_tray_775.png,Green
walnut,walnut_2267.png,Green
dry rice,dry_rice_874.png,Green
wet paper towel,wet_paper_towel__2278.png,Green
banana peels,banana_peels_239.png,Green
rotten banana peel,rotten_banana_peel_1858.png,Green
grape stem,grape_stem_1112.png,Green
tomato,tomato_2086.png,Green
paper pizza box,Paper_Pizza_Box_1621.png,Green
bacon fat,bacon_fat_149.png,Green
half eaten banana,half_eaten_banana_1194.png,Green
orange peel,orange_peel_1569.png,Green
tomato,tomato_2092.png,Green
sweet potato peel,sweet_potato_peel_2008.png,Green
dirty cupcake paper wrap,dirty cupcake paper wrap_54534.png,Green
eaten cookie,eaten_cookie_884.png,Green
beef jerky,beef_jerky_348.png,Green
heads of garlic,heads_of_garlic_1205.png,Green
soiled food wrapper,soiled_food_wrapper_1932.png,Green
piece of frozen meta,piece_of_frozen_meta_1702.png,Green
dirty paper take out food container,dirty_paper_take_out_food_container_783.png,Green
apple,apple_76.png,Green
apple,apple_62.png,Green
vegetable leaves leftovers,vegetable_leaves_leftovers_2220.png,Green
bones and meat,bones_and_meat_417.png,Green
clean facial tissue,clean_facial_tissue_633.png,Green
bones and meat,bones_and_meat_403.png,Green
juice container,juice_container_1275.png,Green
fresh bananas,fresh_bananas_1046.png,Green
paper towel soiled,paper_towel_soiled_1639.png,Green
pistashio shells,pistashio_shells_1727.png,Green
dried rose,dried_rose_861.png,Green
bitten white bread,bitten_white_bread_386.png,Green
potato wedge,Potato_wedge_1790.png,Green
rotten grapes,rotten_grapes_1861.png,Green
apple core,apple_core_91.png,Green
bagel,bagel_161.png,Green
bread crust,bread_crust_471.png,Green
piece of bread,piece_of_bread_1713.png,Green
pineapple,pineapple_1720.png,Green
leftover biscut,Leftover_Biscut_1301.png,Green
spoiled tomato,spoiled_tomato_1952.png,Green
falafel,falafel_997.png,Green
potato chips,potato_chips_1759.png,Green
amaryllis flower,amaryllis_flower_7.png,Green
paper food box,Paper_Food_Box_1612.png,Green
almonds,almonds_2.png,Green
dried leaves,dried_leaves_847.png,Green
piece of cauliflower,piece_of_cauliflower_1695.png,Green
dirty kitchen wipe,dirty_kitchen_wipe_745.png,Green
empty paper packet,empty_paper_packet_982.png,Green
wet tea waste,wet_tea_waste_2280.png,Green
parsley,parsley_1645.png,Green
vegetable stem,vegetable_stem_2265.png,Green
rotten banana,rotten_banana_1856.png,Green
benana fruit,benana_fruit_371.png,Green
dirty napkins,dirty_napkins_749.png,Green
parsley,parsley_1651.png,Green
frozen cake,frozen_cake_1066.png,Green
vegetable stem,vegetable_stem_2259.png,Green
tea bag,tea_bag_2036.png,Green
peeled eggplant,peeled_eggplant_1683.png,Green
dirty used napkin,dirty_used_napkin_797.png,Green
dirty food wrapper,dirty_food_wrapper_744.png,Green
used wet paper napkin,used_wet_paper_napkin_2215.png,Green
vegetable stem,vegetable_stem_2258.png,Green
tea bag,tea_bag_2037.png,Green
takeout container,takeout_container_2014.png,Green
parsley,parsley_1650.png,Green
amaryllis flower,amaryllis_flower_6.png,Green
grape vine,grape vine.png,Green
onion peel,onion_peel_1467.png,Green
onion peel,onion_peel_1473.png,Green
piece of burnt bread,piece_of_burnt_bread_1692.png,Green
paper food container,Paper_Food_Container_1614.png,Green
falafel,falafel_996.png,Green
brownie,brownie_490.png,Green
bagel,bagel_160.png,Green
apple core,apple_core_90.png,Green
rotten bagel,rotten_bagel_1836.png,Green
egg shells,egg_shells_952.png,Green
egg shells,egg_shells_946.png,Green
breakfast sandwich,breakfast_sandwich_479.png,Green
kiwi peel fruit,kiwi_peel_fruit_1285.png,Green
apple core,apple_core_53.png,Green
savoy cabbage,savoy_cabbage_1872.png,Green
dead plant,dead_plant_722.png,Green
left over meat,left_over_meat_1319.png,Green
potato skins,potato_skins_1786.png,Green
apple,Apple_88.png,Green
banana peel frontview,Banana_Peel_frontview_322.png,Green
dirty paper plate,dirty_paper_plate_780.png,Green
celery peel,celery_peel_563.png,Green
bones and meat,bones_and_meat_402.png,Green
used tea bag min,used_tea_bag_min_2204.png,Green
bones and meat,bones_and_meat_416.png,Green
compostable plastic bag,compostable_plastic_bag_670.png,Green
apple,Apple_63.png,Green
dirty paper take out food container,dirty_paper_take_out_food_container_782.png,Green
orange skin,orange_skin_1525.png,Green
apple,apple_77.png,Green
ground beef,ground_beef_1187.png,Green
tea filter with tea,tea_filter_with_tea_2051.png,Green
old bananas,old bananas.png,Green
brewed coffee residue,brewed_coffee_residue_480.png,Green
smashed egg shells,smashed_egg_shells_1928.png,Green
beef jerky,beef_jerky_349.png,Green
leftovers of vegetables,leftovers_of_vegetables_1300.png,Green
tomato,tomato_2093.png,Green
tomato,tomato_2087.png,Green
orange peel,orange_peel_1568.png,Green
bacon fat,bacon_fat_148.png,Green
wood knife,wood knife.png,Green
paper bag clean,paper_bag_clean_1594.png,Green
tomato,tomato_2078.png,Green
clean tissue paper,clean_tissue_paper_642.png,Green
cookie,cookie_674.png,Green
tree branches,tree_branches_2103.png,Green
tomatoe,tomatoe_2083.png,Green
avacado,avacado_111.png,Green
dirty food container,dirty_food_container_741.png,Green
used coffee grounds,used_coffee_grounds_2163.png,Green
bread,bread_465.png,Green
partly eaten chicken thigh,partly_eaten_chicken_thigh_1659.png,Green
broccoli,broccoli_482.png,Green
bones and meat,bones_and_meat_412.png,Green
banana leftovers,banana_leftovers_233.png,Green
bones and meat,bones_and_meat_406.png,Green
apple,apple_73.png,Green
avocado,avocado_122.png,Green
apple,apple_67.png,Green
dirty take out food bag,dirty_take_out_food_bag_792.png,Green
greasy wood chopsticks,greasy_wood_chopsticks_1154.png,Green
food leftover,Food_Leftover_1036.png,Green
piece of cotton,piece_of_cotton_1700.png,Green
wooden chopsticks,wooden_chopsticks_2308.png,Green
paper napkin,paper_napkin_1618.png,Green
partially rotten lemon,partially_rotten_lemon_1657.png,Green
egg shells,egg_shells_942.png,Green
used tea bag,used_tea_bag_2208.png,Green
green pepper,green_pepper_1177.png,Green
rotting grapefruit,rotting_grapefruit_1866.png,Green
lemon,lemon_1328.png,Green
carrot and peels,carrot_and_peels_544.png,Green
chicken bone,chicken bone.png,Green
bitten apple,bitten_apple_377.png,Green
paper straw wrapper,paper_straw_wrapper_1631.png,Green
bagel,bagel_164.png,Green
orange,orange_1543.png,Green
dirty paper plate,dirty_paper_plate_828.png,Green
chinese okra,chinese_okra_601.png,Green
bagel,bagel_158.png,Green
japanese rice snack,Japanese_rice_snack_1272.png,Green
small green bell pepper,small_green_bell_pepper_1919.png,Green
rotten fruit,rotten_fruit_1846.png,Green
paper wrapper,paper_wrapper_1642.png,Green
half onion,half_onion_1197.png,Green
grilled cheese sandwich,grilled_cheese_sandwich_1186.png,Green
clean paper towel,clean_paper_towel_641.png,Green
tea bag,tea_bag_2033.png,Green
vegetable,vegetable_54334.png,Green
spinach,spinach_1944.png,Green
dragon fruit,dragon_fruit_842.png,Green
green chili pepper,green_chili_pepper_1169.png,Green
ginger,ginger_1100.png,Green
red pepper,red_pepper_1809.png,Green
avocado pit,avocado_pit_128.png,Green
used paper napkin,used_paper_napkin_2185.png,Green
ginger,ginger_1101.png,Green
used paper napkin,used_paper_napkin_2184.png,Green
tea bag,tea_bag_2032.png,Green
eggs,eggs_919.png,Green
paper wrapper,Paper_Wrapper_1643.png,Green
used straw,used_straw_2197.png,Green
potato peels,Potato_peels_1780.png,Green
tims wrapper,tims_wrapper_2055.png,Green
greasy take out food container,greasy_take_out_food_container_1133.png,Green
spoiled avocado,spoiled_avocado_1954.png,Green
rotten fruit,rotten_fruit_1847.png,Green
pizza inside a greasy pizza box,pizza_inside_a_greasy_pizza_box_1728.png,Green
one piece of garlic,One_Piece_of_Garlic_1459.png,Green
potato chips,Potato_Chips_1775.png,Green
apple core,apple_core_95.png,Green
orange,orange_1542.png,Green
bagel,bagel_159.png,Green
dirty paper plate,dirty_paper_plate_829.png,Green
bagel,bagel_171.png,Green
candy,candy.png,Green
dirty take out food container made of paper,dirty_take_out_food_container_made_of_paper_793.png,Green
bagel,bagel_165.png,Green
coffee cup sleeve,coffee_cup_sleeve_660.png,Green
cherry tomato,cherry_tomato_575.png,Green
lemon,lemon_1329.png,Green
used tea bag,used_tea_bag_2209.png,Green
egg shells,egg_shells_943.png,Green
green pepper,green_pepper_1176.png,Green
food leftover,food_leftover_1023.png,Green
food leftover,Food_Leftover_1037.png,Green
wooden chopsticks,wooden_chopsticks_2309.png,Green
rotten piece of cheese,rotten_piece_of_cheese_1850.png,Green
chocolate bar,chocolate_bar_607.png,Green
bitten cheese stick,bitten_cheese_stick_380.png,Green
apple,apple_72.png,Green
whole bread slice,whole_bread_slice_2293.png,Green
decaying banana,decaying_banana_726.png,Green
bones and meat,bones_and_meat_407.png,Green
expired strawberries,expired_strawberries_994.png,Green
bones and meat,bones_and_meat_413.png,Green
dirty paper food wrapper,dirty_paper_food_wrapper_778.png,Green
dirty banana peel,dirty_banana_peel_800.png,Green
orange peel,orange_peel_1551.png,Green
bread,bread_470.png,Green
used teabag,used_teabag_2202.png,Green
greasy cardboard plate,greasy cardboard plate.png,Green
leaves,leaves_1294.png,Green
lasagna,lasagna_1288.png,Green
spinach fruit food,spinach_fruit_food_1945.png,Green
bread,bread.png,Green
avacado,avacado_110.png,Green
dirty paper food tray,dirty_paper_food_tray_773.png,Green
oil stained paper bag,Oil_stained_Paper_bag_1422.png,Green
cookie,cookie_675.png,Green
left over vegetables,Left_over_vegetables_1320.png,Green
grass clippings,grass_clippings_1128.png,Green
used napkin,used_napkin_2138.png,Green
okra slices,okra_slices_1423.png,Green
egg shell,egg_shell__956.png,Green
greasy napkins,greasy napkins.png,Green
sliced bread,sliced_bread_1904.png,Green
bread,bread_466.png,Green
greasy napkin,greasy napkin_111.png,Green
paper food pack,Paper_food_pack_1585.png,Green
lemon that was cut in half,lemon_that_was_cut_in_half_1324.png,Green
used teabag,used_teabag_2200.png,Green
orange peel,orange_peel_1553.png,Green
broccoli,broccoli_481.png,Green
bones and meat,bones_and_meat_405.png,Green
lime,lime_1357.png,Green
bones and meat,bones_and_meat_411.png,Green
apple,apple_64.png,Green
bones and meat,bones_and_meat_439.png,Green
lettuce scraps,lettuce_scraps_1348.png,Green
avocado,avocado_121.png,Green
fresh banana,fresh_banana_1047.png,Green
red berry,red_berry_1797.png,Green
old carrots,old_carrots_1430.png,Green
orangepeel,orangepeel__1575.png,Green
tim horton coffe bag,tim_horton_coffe_bag_2054.png,Green
orange carrot,orange_carrot_1544.png,Green
slice of bacon,slice_of_bacon_1888.png,Green
fried chicken bone,fried_chicken_bone_1063.png,Green
chopsticks,chopsticks_620.png,Green
cooking oil,Cooking_Oil_677.png,Green
leftover mushrooms,Leftover_Mushrooms_1311.png,Green
coffee filter,coffee_filter_654.png,Green
apple,Apple__78.png,Green
paper coffee cup,paper_coffee_cup_1582.png,Green
egg shells,egg_shells_941.png,Green
apple core,apple_core_54.png,Green
dirty paper fry container,dirty_paper_fry_container_824.png,Green
carrot peel,carrot_peel_545.png,Green
egg crust,egg_crust_939.png,Green
paper food container,paper_food_container_1613.png,Green
bagel,bagel_167.png,Green
fresh kiwi fruit,fresh_kiwi_fruit_1053.png,Green
lions mane mushroom,lions_mane_mushroom_1361.png,Green
vegetable seeds,vegetable_seeds_2249.png,Green
apple core,apple_core_97.png,Green
grapefruit branch,grapefruit_branch_1113.png,Green
orange,orange_1540.png,Green
bacon stripe,bacon_stripe_154.png,Green
greasy donut box,greasy_donut_box_1139.png,Green
onion peel,onion_peel_1460.png,Green
amaryllis flower,amaryllis_flower_48.png,Green
banana scarp,banana_scarp_267.png,Green
lemon cupcake,lemon_cupcake_1337.png,Green
grape stems,grape_stems_1125.png,Green
greasy food paper,greasy food paper.png,Green
tea bag,tea_bag_2030.png,Green
tangerine peels,tangerine_peels_2019.png,Green
garlic skins,garlic_skins_1088.png,Green
eaten bone,eaten_bone_878.png,Green
ginger,ginger_1103.png,Green
closed dirty paper food takeout container,closed_dirty_paper_food_takeout_container_645.png,Green
garlic waste,garlic_waste_1098.png,Green
ginger,ginger_1102.png,Green
tea bag,tea_bag_2031.png,Green
dried carrot,dried_carrot_852.png,Green
onion peel,onion_peel_1461.png,Green
uncooked meat,uncooked_meat_2117.png,Green
orange,orange_1541.png,Green
sliced lime,sliced_lime_1906.png,Green
fresh onion peel,fresh_onion_peel_1056.png,Green
cryptocoryne plant,cryptocoryne_plant_693.png,Green
apple core,apple_core_96.png,Green
vegetable seeds,vegetable_seeds_2248.png,Green
bagel,bagel_166.png,Green
old banana peel,old_banana_peel_1427.png,Green
wood,wood_2325.png,Green
bagel,bagel_172.png,Green
spoiled onion,spoiled_onion_1950.png,Green
melon peel,melon_peel_1380.png,Green
apple core,apple_core_55.png,Green
banana peel,banana_peel_237.png,Green
orange peels,orange_peels_1508.png,Green
paper box,Paper_Box__1597.png,Green
tissue role,tissue_role_2065.png,Green
paper bag dirty,paper_bag_dirty_1595.png,Green
dried green chillies,dried_green_chillies_855.png,Green
noodles,noodles_1412.png,Green
apple,apple_71.png,Green
brown egg,brown_egg_488.png,Green
bones and meat,bones_and_meat_438.png,Green
apple,Apple_65.png,Green
leftovers of a muffin on a liner,leftovers_of_a_muffin_on_a_liner_1298.png,Green
avocado,avocado_120.png,Green
lime,lime_1356.png,Green
bones and meat,bones_and_meat_404.png,Green
grapes,Grapes_1117.png,Green
clean facial tissue,clean_facial_tissue_634.png,Green
sprouted potatoes,sprouted_potatoes_1967.png,Green
chalk,chalk_565.png,Green
orange peel,orange_peel_1552.png,Green
used teabag,used_teabag_2201.png,Green
eaten cookie,eaten_cookie_883.png,Green
cucumber chunk,cucumber_chunk_701.png,Green
bread,bread_467.png,Green
cooked chicken wings min,cooked_chicken_wings_min_671.png,Green
expired plain yogurt,expired_plain_yogurt_993.png,Green
apple waste,apple_waste_103.png,Green
used tea bag,used_tea_bag_2154.png,Green
garlic peel,garlic_peel_1095.png,Green
used napkin,used_napkin_2139.png,Green
used paper towel,used_paper_towel__2190.png,Green
food leftovers,food_leftovers_1019.png,Green
dirty paper food takeout container,dirty_paper_food_takeout_container_772.png,Green
used napkin,used_napkin_2176.png,Green
dired orange skin,dired_orange_skin_729.png,Green
baby carrot,Baby_Carrot_133.png,Green
hard boiled egg yolk,hard_boiled_egg_yolk_1202.png,Green
squeezed lemon,Squeezed_Lemon_1977.png,Green
bun bread,bun_bread_518.png,Green
hamburger leftover,hamburger_leftover_1201.png,Green
baguette sandwich,baguette_sandwich_222.png,Green
dirty napkin,dirty_napkin_751.png,Green
banana,banana_284.png,Green
spolied orange,spolied_orange_1965.png,Green
foodsoiled paper cup,foodsoiled_paper_cup_1033.png,Green
banana peel,banana_peel_318.png,Green
banana peel,banana_peel__312.png,Green
dirt cardboard pizza box,dirt_cardboard_pizza_box_730.png,Green
molten chocolate,molten_chocolate_1386.png,Green
onion,onion_1483.png,Green
beignets,beignets_358.png,Green
garlic skin,Garlic_Skin_1097.png,Green
used teabag tea bag,used_teabag_tea_bag_2203.png,Green
oragne peeled skin,oragne_peeled_skin_1503.png,Green
wood spoon small clean,wood_spoon_small_clean_2326.png,Green
beignets,beignets_364.png,Green
parsley and vegetable leftovers,parsley_and_vegetable_leftovers_1646.png,Green
apple core,apple_core__89.png,Green
orange peels,orange_peels_1547.png,Green
vegetable leftovers,vegetable_leftovers_2225.png,Green
egg,egg_936.png,Green
corn cob,corn_cob_680.png,Green
banana peel,banana_peel_244.png,Green
used piece of napkin,used_piece_of_napkin_2150.png,Green
ice cream,ice_cream_1209.png,Green
banana peel,banana_peel_250.png,Green
baby carrots,baby_carrots_132.png,Green
orange,orange_1532.png,Green
carrot food,carrot_food_552.png,Green
bagel sandwich,bagel_sandwich_180.png,Green
banana peel,banana_peel_287.png,Green
green vegetable skin,green_vegetable_skin_1185.png,Green
avacado skin,avacado_skin_112.png,Green
banana peel,banana_peel_293.png,Green
food stained papertowel,food_stained_papertowel_1040.png,Green
apple food,apple_food_100.png,Green
banana peel,banana_peel__299.png,Green
dessert,dessert_728.png,Green
subway dirty sandwich wrapper,subway_dirty_sandwich_wrapper_2000.png,Green
human hair,human_hair_1208.png,Green
food trash,Food_trash_1027.png,Green
amaryllis flower,amaryllis_flower_12.png,Green
leftover chips,Leftover_chips_1304.png,Green
tissue,tissue_2057.png,Green
white egg,white_egg_2286.png,Green
peanuts skins,peanuts_skins_1670.png,Green
tree leaves,tree_leaves_2106.png,Green
traditionalchinesemedicine,traditionalChinesemedicine_2101.png,Green
wine cork,wine_cork_2300.png,Green
tree leaves,tree_leaves_2107.png,Green
dead house plant,dead_house_plant_720.png,Green
white egg,white_egg_2287.png,Green
cinnamon,cinnamon_626.png,Green
avocado peels,Avocado_peels_124.png,Green
egg sheel,egg_sheel_898.png,Green
noodles spilled,Noodles_spilled_1413.png,Green
empty coffee cup,empty_coffee_cup_977.png,Green
expired onion,expired_onion_992.png,Green
tissue,tissue_2056.png,Green
baguette,baguette_207.png,Green
baguette,baguette_213.png,Green
egg shell,egg_shell_957.png,Green
spoiled salad,spoiled_salad_1951.png,Green
used lime wedge,used_lime_wedge_2171.png,Green
brown egg shell,brown_egg_shell_487.png,Green
clean crumpled paper towel,clean_crumpled_paper_towel_632.png,Green
dirty cupcake paper wrap,dirty cupcake paper wrap.png,Green
bagel sandwich,bagel_sandwich_181.png,Green
banana peel,banana_peel_286.png,Green
orange,orange_1527.png,Green
empty napkin roll,empty_napkin_roll_979.png,Green
twizzles,twizzles_2115.png,Green
orange,orange_1533.png,Green
paper straw,paper_straw_1630.png,Green
cashews,cashews_555.png,Green
banana peel,banana_peel_245.png,Green
vegetable leftovers,vegetable_leftovers_2224.png,Green
egg,Egg_937.png,Green
old grape,old_grape_1438.png,Green
vegetable leaves,vegetable_leaves_2221.png,Green
orange peels,orange_peels_1546.png,Green
dirty chicken bone,dirty_chicken_bone_804.png,Green
beignets,beignets_365.png,Green
rotten banana peel,rotten_banana_peel__1838.png,Green
old half baggle,old_half_baggle_1439.png,Green
beignets,beignets_359.png,Green
garlic skin,garlic_skin_1096.png,Green
spoiled lemon,spoiled_lemon_1949.png,Green
wood chopsticks,wood_chopsticks_2304.png,Green
pieces of marshmallows,Pieces_of_Marshmallows_1712.png,Green
red grapes,red_grapes_1801.png,Green
white bread,white_bread_2284.png,Green
onion,onion_1482.png,Green
banana peel,banana_peel_319.png,Green
snacks leftovers,snacks_leftovers_1930.png,Green
clean compost bag,clean_compost_bag_631.png,Green
fresh onion,fresh_onion_1055.png,Green
cheese string,cheese_string_571.png,Green
banana peel,banana_peel__307.png,Green
leftover food,leftover_food_1309.png,Green
squeezed lemons,squeezed_lemons_1976.png,Green
rotten tomatoes,Rotten_tomatoes_1851.png,Green
orange peel,orange_peel_1520.png,Green
baguette sandwich,baguette_sandwich_223.png,Green
used paper towel,Used_Paper_Towel_2195.png,Green
bun bread,bun_bread_519.png,Green
hard boiled egg yolk,hard_boiled_egg_yolk_1203.png,Green
rotten banana peel,rotten_banana_peel_1839.png,Green
garlic,garlic_1090.png,Green
used napkin,used_napkin_2177.png,Green
food leftovers,food_leftovers_1018.png,Green
used napkin,used_napkin_2175.png,Green
banana,banana_278.png,Green
pineapple peel,pineapple_peel_1719.png,Green
used paper napkin,used_paper_napkin__2179.png,Green
pill packaging paper,Pill_packaging_paper_1715.png,Green
dirty cardboard burger box,Dirty_cardboard_burger_box_737.png,Green
squash peel,squash_peel_1969.png,Green
potato skin,Potato_skin_1788.png,Green
dirty napkin,dirty_napkin_752.png,Green
eaten apple,eaten_apple_877.png,Green
cake leftovers,cake_leftovers_539.png,Green
squeezed lemon,squeezed_lemon_1974.png,Green
mandarin orange peel,mandarin_orange_peel_1375.png,Green
peeled tomato,peeled_tomato_1682.png,Green
burned bread,burned_bread_526.png,Green
baby wipe,baby_wipe_134.png,Green
food scraps,food_scraps_1039.png,Green
orange peel,orange_peel_1522.png,Green
bones and meat,bones_and_meat_448.png,Green
french fries box,french_fries_box_1043.png,Green
red carrots,red_carrots_1800.png,Green
pear,pear_1680.png,Green
onion,Onion_1480.png,Green
cardboard egg carton,cardboard_egg_carton_543.png,Green
dirty coffe cup,dirty_coffe_cup_810.png,Green
baguette,baguette_198.png,Green
napkin,napkin_1403.png,Green
ataulfo mango,ataulfo_mango_109.png,Green
slice of white bread,slice_of_white_bread_1897.png,Green
wooden popsicle stick,wooden_popsicle_stick_2313.png,Green
orange peels,orange_peels_1550.png,Green
egg,egg_935.png,Green
vegetable leftovers,vegetable_leftovers_2226.png,Green
rotting yellow bell pepper,rotting_yellow_bell_pepper_1867.png,Green
cleanpistachioskin,cleanpistachioskin_644.png,Green
coffee grounds,coffee_grounds_655.png,Green
jalapeno,jalapeno_1269.png,Green
four squeezed slices of orange,four_squeezed_slices_of_orange_1042.png,Green
potato,potato_1773.png,Green
orange,orange_1531.png,Green
small red fruit,small_red_fruit_1921.png,Green
peanut shell,peanut_shell_1676.png,Green
banana peel,banana_peel_290.png,Green
empty paper bag,empty_paper_bag_980.png,Green
vegetable,vegetable_2260.png,Green
old mandarin,old_mandarin_1443.png,Green
dirty coffee cup,dirty_coffee_cup_738.png,Green
egg shell,egg_shell_955.png,Green
chicken bone,chicken_bone_589.png,Green
icecream paper tub,icecream_paper_tub_1211.png,Green
brown egg shell,brown_egg_shell_485.png,Green
egg shell,egg_shell_969.png,Green
dirty smashed napkin,dirty_smashed_napkin_787.png,Green
amaryllis flower,amaryllis_flower_11.png,Green
baguette,baguette_211.png,Green
flour package,flour_package_1005.png,Green
fresh avocado,fresh_avocado_1045.png,Green
muffin liners,muffin_liners_1391.png,Green
chicken bones cooked,chicken_bones_cooked_588.png,Green
white egg,white_egg_2285.png,Green
cassava,cassava_557.png,Green
cucumber,cucumber_699.png,Green
sliced cucumber,sliced_cucumber_1905.png,Green
garlic head cut in half,garlic_head_cut_in_half_1081.png,Green
dirty subway sandwich wrapper,dirty_subway_sandwich_wrapper_789.png,Green
